case,system,gold_id,gold,predicted,via,computed
case_09,baseline_plus,w_nonulls,violated,violated,span,"alcohol column has count=1593 vs 1599 total rows, indicating 6 missing values"
case_09,baseline_plus,w_mean,holds,holds,span,mean quality = 5.636023 ≈ 5.6
case_09,baseline_stratified,w_prov,unverifiable,unverifiable,fuzzy,
case_09,baseline_stratified,w_rows,holds,holds,span,"1,599 rows total (three row-ranges of 533 rows each spanning rows 0-1598)"
case_09,baseline_stratified,w_quality,violated,violated,span,"quality values include 8 (e.g. rows with quality=8) in addition to 3-7, so actual range is 3-8"
case_09,baseline_stratified,w_ph,holds,holds,span,"observed pH minimum 2.74 and maximum 4.01 in the sampled data, matching the claimed bounds"
case_09,baseline_stratified,w_alcohol,violated,violated,span,"alcohol values of 19.5 appear in multiple rows (e.g. 6.7,0.64,0.23,...,19.5,5 and 7.3,0.44,0.2,...,19.5,6), exceeding the claimed maximum of 14.9"
case_09,baseline_stratified,w_nonulls,violated,violated,span,"multiple rows have an empty/missing alcohol value (e.g. '7.0,0.23,0.4,1.6,0.063,21.0,67.0,0.9952,3.5,0.63,,5' and several others with blank alcohol field)"
case_09,baseline_stratified,w_mean,holds,holds,span,"sampled quality distribution is dominated by 5s and 6s, consistent with a mean near 5.6"
case_10,agent,r_prov,unverifiable,unverifiable,span,
case_10,agent,r_rows,violated,violated,span,40000 rows
case_10,agent,r_dates,holds,holds,span,"min=2010-12-01 08:26:00, max=2010-12-21 13:06:00, out_of_range_or_invalid=0"
case_10,agent,r_qty,holds,holds,span,"min=-9360, max=2880"
case_10,agent,r_countries,holds,unverifiable,span,
case_10,agent,r_phantom,violated,violated,span,column warehouse_id absent from dataset
case_10,agent,r_cust_nulls,holds,holds,span,34.97% of rows have missing customer_id (13989/40000)
case_10,agent,r_desc_nulls,violated,violated,span,153 rows with missing/empty description
case_10,baseline,r_prov,unverifiable,unverifiable,span,
case_10,baseline,r_rows,violated,unverifiable,span,
case_10,baseline,r_dates,holds,unverifiable,span,
case_10,baseline,r_qty,holds,unverifiable,fuzzy,
case_10,baseline,r_countries,holds,unverifiable,span,
case_10,baseline,r_phantom,violated,violated,span,"The listed columns are: invoice, stockcode, description, quantity, invoicedate, price, customer_id, country — no warehouse_id column is present."
case_10,baseline,r_cust_nulls,holds,unverifiable,span,
case_10,baseline,r_desc_nulls,violated,unverifiable,span,
case_10,baseline_plus,r_prov,unverifiable,unverifiable,span,
case_10,baseline_plus,r_rows,violated,violated,span,"40,000 rows (invoice column count = 40000)"
case_10,baseline_plus,r_dates,holds,unverifiable,span,
case_10,baseline_plus,r_qty,holds,holds,span,"min -9360.0, max 2880.0"
case_10,baseline_plus,r_countries,holds,holds,span,24 unique values in country column
case_10,baseline_plus,r_phantom,violated,violated,span,"no warehouse_id column present; columns are invoice, stockcode, description, quantity, invoicedate, price, customer_id, country"
case_10,baseline_plus,r_cust_nulls,holds,holds,span,13989/40000 missing = 34.97%
case_10,baseline_plus,r_desc_nulls,violated,violated,span,153 missing (40000 - 39847)
case_10,baseline_stratified,r_prov,unverifiable,unverifiable,span,
case_10,baseline_stratified,r_rows,violated,violated,span,"40,000 line items (the three provided samples explicitly span data rows 0–39999, i.e. 13333+13333+13334 rows)"
case_10,baseline_stratified,r_dates,holds,holds,span,"sampled invoicedate values range from 2010-12-01 08:34 to 2010-12-21 13:06, with no dates observed outside that window"
case_10,baseline_stratified,r_qty,holds,holds,span,"sampled quantities range from -145 to 300, entirely within the claimed bounds; no value in the sample contradicts the stated range"
case_10,baseline_stratified,r_countries,holds,holds,span,"18 distinct countries observed across the 1,800 sampled rows (~4.5% of the data); a fuller count of 24 across the full file is plausible and not contradicted"
case_10,baseline_stratified,r_phantom,violated,violated,span,"no warehouse_id column is present; the actual columns are invoice, stockcode, description, quantity, invoicedate, price, customer_id, country"
case_10,baseline_stratified,r_cust_nulls,holds,holds,span,"640 of 1,800 sampled rows (35.6%) have a blank customer_id"
case_10,baseline_stratified,r_desc_nulls,violated,holds,span,"9 of 1,800 sampled rows (0.5%) have a blank description, extrapolating to roughly 130-270 rows over 40,000; same order of magnitude as the claimed 123 given sampling noise"
case_11,agent,t_prov,unverifiable,unverifiable,span,
case_11,agent,t_rows,violated,violated,span,row_count=50000
case_11,agent,t_pass,holds,holds,span,"min=0.0, max=6.0"
case_11,agent,t_pay,holds,holds,span,"unique values=[1, 2, 3, 4], out-of-range/non-null-mismatch count=0 out of 50000"
case_11,agent,t_flag,violated,violated,span,"unique values: ['N', 'U', 'Y']; 6 invalid out of 50000 non-null rows"
case_11,agent,t_fare,holds,holds,span,mean total_amount = 29.17
case_11,agent,t_dates,holds,holds,span,"min=2022-10-24 17:37:47, max=2023-01-01 23:19:19"
case_11,agent,t_min_total,violated,violated,span,min(total_amount)=-351.0
case_11,baseline,t_prov,unverifiable,unverifiable,span,
case_11,baseline,t_rows,violated,unverifiable,fuzzy,
case_11,baseline,t_pass,holds,holds,span,"sample passenger_count values range 0–5 (min 0 at row 4, max 5 at rows 41–43), within claimed bounds"
case_11,baseline,t_pay,holds,holds,span,"sample payment_type values observed: {1,2,4}, all within 1–4"
case_11,baseline,t_flag,violated,holds,span,all 50 sampled rows have store_and_fwd_flag = 'N'; dtype object/string consistent with a categorical N/Y flag
case_11,baseline,t_fare,holds,unverifiable,span,
case_11,baseline,t_dates,holds,violated,span,the file's first 50 rows (its head) span only 2023-01-01 00:03:36–00:58:49; no October 2022 timestamps appear
case_11,baseline,t_min_total,violated,unverifiable,span,
case_11,baseline_plus,t_prov,unverifiable,unverifiable,span,
case_11,baseline_plus,t_rows,violated,violated,fuzzy,"50,000 rows (count=50000 across all columns in the summary statistics)"
case_11,baseline_plus,t_pass,holds,holds,span,"passenger_count min=0.0, max=6.0"
case_11,baseline_plus,t_pay,holds,holds,span,"observed payment_type values: 1, 2, 3, 4"
case_11,baseline_plus,t_flag,violated,violated,span,"three distinct values present: N (49,735), Y (259), U (6)"
case_11,baseline_plus,t_fare,holds,holds,span,mean total_amount = 29.174196 ≈ $29.17
case_11,baseline_plus,t_dates,holds,holds,span,"min tpep_pickup_datetime = 2022-10-24 17:37:47, max = 2023-01-01 23:19:19"
case_11,baseline_plus,t_min_total,violated,violated,span,min total_amount = -$351.00
case_11,baseline_stratified,t_prov,unverifiable,unverifiable,span,
case_11,baseline_stratified,t_rows,violated,violated,fuzzy,"~50,000 trips (the three provided samples span row indices 0–49999: 16666 + 16667 + 16667 = 50,000 rows total, not 52,500)"
case_11,baseline_stratified,t_pass,holds,holds,span,"observed passenger_count values in samples are 0.0–6.0, no values outside this range"
case_11,baseline_stratified,t_pay,holds,holds,span,"observed payment_type values in samples are 1, 2, 3, 4 only"
case_11,baseline_stratified,t_flag,violated,holds,span,observed store_and_fwd_flag values in samples are only 'N' and 'Y'
case_11,baseline_stratified,t_fare,holds,violated,span,~$26.4 average total_amount computed from a manual sample of ~300 rows drawn across the three provided chunks
case_11,baseline_stratified,t_dates,holds,holds,span,"earliest observed pickup is 2022-10-24 23:15:32; latest observed pickups are on 2023-01-01, consistent with claimed range"
case_11,baseline_stratified,t_min_total,violated,violated,span,"most negative total_amount observed in samples is approximately -$81.80 (row with fare_amount -70.0, total_amount -81.8)"
case_12,agent,s_prov,unverifiable,unverifiable,span,
case_12,agent,s_rows,holds,holds,span,row_count=1000000
case_12,agent,s_sorted,holds,holds,span,"monotonic_increasing=True, out_of_order_rows=0, unparseable_ts=0"
case_12,agent,s_ts,holds,holds,span,"min=2024-01-01 00:00:00, max=2024-12-31 23:59:59, out_of_range_count=0"
case_12,agent,s_amount,holds,holds,span,"min=5.0, max=500.0"
case_12,agent,s_status,holds,holds,span,"values=DELIVERED, PLACED, RETURNED, SHIPPED"
case_12,agent,s_channel,holds,holds,span,"channel values: app, express, web"
case_12,agent,s_pattern,violated,violated,span,382464/382637 non-empty coupon_id values match ^CP-\d{5}$; 173 violations
case_12,agent,s_share,violated,violated,span,14.20% of 1000000 orders pair a coupon with express channel (142010 orders)
case_12,baseline,s_prov,unverifiable,unverifiable,span,
case_12,baseline,s_rows,holds,unverifiable,span,
case_12,baseline,s_sorted,holds,holds,span,the 50 sampled rows have strictly increasing ts values (2024-01-01 00:00:00 through 00:30:06)
case_12,baseline,s_ts,holds,unverifiable,span,
case_12,baseline,s_amount,holds,holds,span,"sampled amounts range from 5.0 to 500.0, matching the claimed bounds exactly"
case_12,baseline,s_status,holds,holds,span,only these four status values appear among the sampled rows
case_12,baseline,s_channel,holds,holds,span,only these three channel values appear among the sampled rows
case_12,baseline,s_pattern,violated,holds,span,all 23 non-empty coupon_id values in the sample match 'CP-' followed by 5 digits
case_12,baseline,s_share,violated,violated,span,"11 of 50 sampled orders (22%) are express channel with a non-empty coupon_id, more than double the claimed rate"
case_12,baseline_plus,s_prov,unverifiable,unverifiable,span,
case_12,baseline_plus,s_rows,holds,holds,span,"1,000,000 rows (order_id count = 1000000)"
case_12,baseline_plus,s_sorted,holds,holds,span,first 50 rows show strictly increasing ts values from 2024-01-01 00:00:00 onward
case_12,baseline_plus,s_ts,holds,holds,span,"min ts = 2024-01-01 00:00:00, max ts = 2024-12-31 23:59:59"
case_12,baseline_plus,s_amount,holds,holds,span,"min amount = 5.0, max amount = 500.0"
case_12,baseline_plus,s_status,holds,holds,span,"unique=4; value counts show exactly DELIVERED, SHIPPED, PLACED, RETURNED summing to 1,000,000"
case_12,baseline_plus,s_channel,holds,holds,span,"unique=3; value counts show web=500846, app=299095, express=200059 summing to 1,000,000"
case_12,baseline_plus,s_pattern,violated,holds,span,"sampled rows and top value counts (e.g. CP-00460, CP-01052, CP-01962) all follow CP- plus 5 digits"
case_12,baseline_plus,s_share,violated,unverifiable,span,
case_12,baseline_stratified,s_prov,unverifiable,unverifiable,span,
case_12,baseline_stratified,s_rows,holds,holds,span,"row ranges given (0-333332, 333333-666665, 666666-999999) sum to 1,000,000 rows"
case_12,baseline_stratified,s_sorted,holds,holds,span,sampled rows show ts strictly increasing with row index within and across the three row-range blocks
case_12,baseline_stratified,s_ts,holds,holds,span,sampled ts values span 2024-01-01 04:04:04 to 2024-12-31 23:51:58
case_12,baseline_stratified,s_amount,holds,holds,span,"sampled amounts range from ~5.63 to ~499.98, none observed outside [5,500]"
case_12,baseline_stratified,s_status,holds,holds,span,only these four values observed across all sampled rows
case_12,baseline_stratified,s_channel,holds,holds,span,only these three values observed across all sampled rows
case_12,baseline_stratified,s_pattern,violated,holds,span,"all non-empty coupon_id values observed (e.g. CP-00347, CP-00000, CP-01947) are CP- followed by 5 digits"
case_12,baseline_stratified,s_share,violated,violated,span,"manual count over 400 sampled rows (300 from block 1, 100 from block 3) found 65 rows with channel=express and non-empty coupon_id, ~16%"
